composition,T(K),a(Å),γ_ISF_ANNNI,γ_ISF_DMLF,γ_ISF_DMLF_scaled,%Error_vs_scaled_ISF,γ_ESF_ANNNI,γ_ESF_DMLF,γ_ESF_DMLF_scaled,%Error_vs_scaled_ESF,γ_Twin_ANNNI,γ_Twin_DMLF,γ_Twin_DMLF_scaled,%Error_vs_scaled_Twin
Cr0.00_Co0.00_Fe1.00,150,3.609520726,16.49939855,0.105889891,16.63905639,-0.839337509,24.43206571,0.071509283,24.24374724,0.776771297,12.21603286,0.052944945,12.24749268,-0.256867476
Cr0.00_Co0.00_Fe1.00,300,3.609314925,14.40205376,0.085292193,13.40242771,7.458544632,19.72514421,0.062274963,21.11304154,-6.573649386,9.862572107,0.042646096,9.865110798,-0.025734037
Cr0.00_Co0.00_Fe1.00,500,3.620490285,18.64246826,0.12160185,19.10796225,-2.436125747,28.06840586,0.080765496,27.38187531,2.507244462,14.03420293,0.060800925,14.06477774,-0.217385647
Cr0.33_Co0.33_Fe0.33,150,3.469676078,18.17719797,0.131985152,20.73954715,-12.35489457,30.44255527,0.078808105,26.71826227,13.93912882,15.22127763,0.065992576,15.26573673,-0.291234521
Cr0.33_Co0.33_Fe0.33,300,3.558288621,17.0433358,0.107545294,16.8991789,0.853040843,24.35367093,0.075263012,25.51637162,-4.556685041,12.17683547,0.053772647,12.4389609,-2.107293625
Cr0.33_Co0.33_Fe0.33,500,3.445832439,21.08678152,0.147150133,23.12250337,-8.804072023,34.61431531,0.089642752,30.39152583,13.89462806,17.30715765,0.073575066,17.0197567,1.688631399
Cr0.50_Co0.25_Fe0.25,150,3.470417418,20.47905607,0.136024597,21.37428719,-4.188355424,31.31637764,0.088952028,30.15735011,3.84326717,15.65818882,0.068012298,15.73294905,-0.475182524
Cr0.50_Co0.25_Fe0.25,300,3.468903369,19.44474112,0.116121166,18.24675247,6.565489724,26.81816619,0.084194643,28.54445686,-6.047726478,13.40908309,0.058060583,13.43086796,-0.162199971
Cr0.50_Co0.25_Fe0.25,500,3.420548252,30.56867389,0.185291378,29.11584533,4.989821001,42.89328512,0.132051248,44.76925156,-4.190301086,21.44664256,0.092645689,21.43126974,0.071730781
Cr0.67_Co0.17_Fe0.17,150,3.462312612,20.88760488,0.134858796,21.19109852,-1.432175074,31.16886507,0.090374713,30.63968211,1.727116349,15.58443253,0.067429398,15.59810967,-0.087684561
Cr0.67_Co0.17_Fe0.17,300,3.465650909,19.14470232,0.113280404,17.80036803,7.552283647,26.23516063,0.082664624,28.02573548,-6.389037873,13.11758031,0.056640202,13.10229823,0.116636636
Cr0.67_Co0.17_Fe0.17,500,3.457859005,25.56741321,0.1540119,24.20073026,5.647279779,35.74364423,0.110164648,37.34905132,-4.298387865,17.87182212,0.07700595,17.81340615,0.327932597
